3 ,D. RICCIARDO
5 ,S. VETTEL
6 ,N. ROSBERG
LAP  ,TIME,LAP  ,TIME
1 ,14:04:24 ,40 ,1:21.160
2 ,1:22.092 ,41 ,1:21.078
3 ,1:21.715 ,42 ,1:21.524
4 ,1:21.603 ,43 ,1:21.888
5 ,1:21.515 ,44 ,1:21.301
6 ,1:21.757 ,45 ,1:20.412
7 ,1:21.695 ,46 ,1:20.340
8 ,1:20.982 ,47 ,1:20.050
9 ,1:20.633 ,48 ,1:19.941
10 ,1:20.532 ,49 ,1:19.779
11 ,1:20.434 ,50 ,1:19.863
12 ,1:20.599 ,51 ,1:20.062
13 ,1:21.231 ,52 ,1:20.999
14 ,1:20.969 ,53 ,1:19.832
15 ,1:20.697 ,54 ,1:20.058
16 ,1:20.962 ,55 ,1:19.552
17 ,1:20.719 ,56 ,1:20.433
18 ,1:21.067 ,57 ,1:19.778
19 ,1:20.749 ,58 ,1:19.541
20 ,1:21.751 ,59 ,1:19.370
21 ,1:20.642 ,60 ,1:19.404
22 ,1:20.574 ,61 ,1:19.794
23 ,1:20.863 ,62 ,1:19.927
24 ,1:20.931 ,63 ,1:19.809
25 ,1:20.477 ,64 ,1:42.621
26 ,1:20.656 ,65 P ,1:59.200
27 ,1:20.797 ,66 ,1:39.455
28 ,1:20.959 ,67 ,2:00.524
29 ,1:20.470 ,68 ,2:01.996
30 ,1:20.528 ,69 ,2:14.439
31 ,1:20.913 ,70 ,1:53.981
32 ,1:20.954 ,71 ,1:24.960
33 ,1:21.177 ,72 ,1:19.600
34 ,1:21.644 ,73 ,1:19.708
35 ,1:21.606 ,74 ,1:18.063
36 P ,1:38.798 ,75 ,1:18.511
37 ,1:22.880 ,76 ,1:19.087
38 ,1:20.493 ,77 ,1:19.063
39 ,1:21.026 ,78 ,1:27.138
LAP  ,TIME,LAP  ,TIME
1 ,14:04:22 ,40 ,1:19.858
2 ,1:21.800 ,41 ,1:19.962
3 ,1:21.210 ,42 ,1:19.158
4 ,1:21.149 ,43 ,1:20.650
5 ,1:20.820 ,44 ,1:20.280
6 ,1:21.162 ,45 ,1:20.114
7 ,1:21.383 ,46 ,1:20.188
8 ,1:20.333 ,47 ,1:20.031
9 ,1:20.192 ,48 ,1:20.878
10 ,1:20.420 ,49 ,1:20.426
11 ,1:20.257 ,50 ,1:20.240
12 ,1:20.490 ,51 ,1:20.349
13 ,1:20.201 ,52 ,1:20.316
14 ,1:20.446 ,53 ,1:20.035
15 ,1:20.638 ,54 ,1:20.304
16 ,1:20.549 ,55 ,1:20.688
17 ,1:20.466 ,56 ,1:21.826
18 ,1:20.949 ,57 ,1:19.469
19 ,1:21.991 ,58 ,1:20.126
20 ,1:20.244 ,59 ,1:19.948
21 ,1:20.002 ,60 ,1:21.059
22 ,1:20.075 ,61 ,1:21.352
23 ,1:20.042 ,62 ,1:19.741
24 ,1:20.071 ,63 ,1:19.761
25 ,1:20.633 ,64 ,1:38.970
26 ,1:20.773 ,65 ,1:43.225
27 ,1:21.044 ,66 ,2:01.254
28 ,1:21.271 ,67 ,2:00.975
29 ,1:20.970 ,68 ,2:10.291
30 ,1:20.932 ,69 ,2:15.378
31 ,1:20.391 ,70 ,1:55.831
32 ,1:20.263 ,71 ,1:23.655
33 ,1:20.354 ,72 ,1:20.196
34 ,1:20.236 ,73 ,1:19.532
35 ,1:21.418 ,74 ,1:19.271
36 P ,1:37.356 ,75 ,1:18.854
37 ,1:21.811 ,76 ,1:19.095
38 ,1:20.458 ,77 ,1:19.070
39 ,1:20.641 ,78 ,1:19.265
LAP  ,TIME,LAP  ,TIME
1 ,14:04:22 ,40 ,1:19.504
2 ,1:21.495 ,41 ,1:19.697
3 ,1:20.988 ,42 ,1:19.847
4 ,1:20.688 ,43 ,1:20.512
5 ,1:20.538 ,44 ,1:20.475
6 ,1:21.401 ,45 ,1:20.058
7 ,1:20.690 ,46 ,1:20.246
8 ,1:20.535 ,47 ,1:20.190
9 ,1:20.625 ,48 ,1:21.040
10 ,1:20.280 ,49 ,1:20.052
11 ,1:20.267 ,50 ,1:20.072
12 ,1:20.485 ,51 ,1:20.193
13 ,1:20.540 ,52 ,1:20.267
14 ,1:20.673 ,53 ,1:20.385
15 ,1:20.523 ,54 ,1:20.380
16 ,1:20.663 ,55 ,1:20.916
17 ,1:20.713 ,56 ,1:20.793
18 ,1:20.884 ,57 ,1:19.990
19 ,1:21.534 ,58 ,1:20.020
20 ,1:20.252 ,59 ,1:20.023
21 ,1:20.016 ,60 ,1:20.625
22 ,1:20.016 ,61 ,1:20.209
23 ,1:20.020 ,62 ,1:20.016
24 ,1:20.129 ,63 ,1:21.173
25 ,1:20.784 ,64 ,1:39.578
26 ,1:20.853 ,65 ,1:43.378
27 ,1:21.525 ,66 ,2:01.594
28 ,1:21.250 ,67 ,2:00.939
29 ,1:20.642 ,68 ,2:10.541
30 ,1:20.626 ,69 ,2:14.446
31 ,1:20.503 ,70 ,1:56.858
32 ,1:19.937 ,71 ,1:22.014
33 ,1:20.512 ,72 ,1:19.204
34 ,1:19.995 ,73 ,1:18.603
35 ,1:21.169 ,74 ,1:18.829
36 ,1:20.361 ,75 ,1:18.607
37 P ,1:37.307 ,76 ,1:18.599
38 ,1:23.331 ,77 ,1:19.156
39 ,1:19.716 ,78 ,1:19.815
7 ,K. RAIKKONEN
8 ,R. GROSJEAN
9 ,M. ERICSSON
LAP  ,TIME,LAP  ,TIME
1 ,14:04:25 ,40 ,1:20.414
2 ,1:22.504 ,41 ,1:20.189
3 ,1:22.004 ,42 ,1:19.932
4 ,1:21.631 ,43 ,1:20.985
5 ,1:21.290 ,44 ,1:19.851
6 ,1:21.456 ,45 ,1:20.516
7 ,1:21.798 ,46 ,1:19.938
8 ,1:21.129 ,47 ,1:19.764
9 ,1:20.959 ,48 ,1:20.019
10 ,1:20.575 ,49 ,1:20.289
11 ,1:20.563 ,50 ,1:20.116
12 ,1:20.696 ,51 ,1:20.933
13 ,1:20.798 ,52 ,1:20.479
14 ,1:20.434 ,53 ,1:20.037
15 ,1:21.012 ,54 ,1:20.193
16 ,1:20.849 ,55 ,1:20.612
17 ,1:21.133 ,56 ,1:19.874
18 ,1:20.509 ,57 ,1:19.884
19 ,1:21.208 ,58 ,1:19.905
20 ,1:21.368 ,59 ,1:19.960
21 ,1:20.762 ,60 ,1:19.818
22 ,1:20.633 ,61 ,1:19.988
23 ,1:20.491 ,62 ,1:20.066
24 ,1:20.926 ,63 ,1:19.780
25 ,1:20.522 ,64 ,1:44.083
26 ,1:20.528 ,65 ,1:44.249
27 ,1:20.894 ,66 ,1:52.037
28 ,1:20.628 ,67 ,2:01.116
29 ,1:20.628 ,68 ,2:03.012
30 ,1:20.685 ,69 ,2:15.817
31 ,1:20.422 ,70 ,1:54.534
32 ,1:21.010 ,71 ,1:24.721
33 ,1:21.125 ,72 ,1:22.824
34 ,1:21.565 ,73 ,1:20.355
35 ,1:21.575 ,74 ,1:19.651
36 ,1:21.958 ,75 ,1:19.842
37 P ,1:36.150 ,76 ,1:19.927
38 ,1:22.952 ,77 ,1:19.785
39 ,1:21.228 ,78 ,1:19.990
LAP  ,TIME,LAP  ,TIME
1 ,14:04:31 ,40 ,1:20.483
2 ,1:24.350 ,41 ,1:21.460
3 ,1:23.347 ,42 ,1:21.753
4 ,1:24.145 ,43 ,1:21.724
5 ,1:22.491 ,44 ,1:21.311
6 ,1:25.498 ,45 ,1:20.908
7 ,1:23.511 ,46 ,1:21.158
8 ,1:22.375 ,47 ,1:21.021
9 ,1:21.720 ,48 ,1:22.233
10 ,1:21.551 ,49 ,1:23.239
11 ,1:21.236 ,50 ,1:20.912
12 ,1:21.120 ,51 ,1:20.824
13 ,1:21.163 ,52 ,1:20.877
14 ,1:20.809 ,53 ,1:21.041
15 ,1:21.083 ,54 ,1:20.995
16 ,1:20.978 ,55 ,1:21.396
17 P ,1:38.671 ,56 ,1:21.742
18 ,1:23.754 ,57 ,1:21.225
19 ,1:23.359 ,58 ,1:21.446
20 ,1:21.549 ,59 ,1:24.040
21 ,1:21.106 ,60 ,1:24.050
22 ,1:21.376 ,61 ,1:20.811
23 ,1:21.140 ,62 ,1:21.059
24 ,1:20.577 ,63 ,1:50.177
25 ,1:20.813 ,64 ,1:43.133
26 ,1:21.548 ,65 ,1:52.002
27 ,1:21.019 ,66 ,2:01.526
28 ,1:21.104 ,67 ,2:02.003
29 ,1:21.773 ,68 ,1:29.317
30 ,1:21.718 ,69 ,1:25.177
31 ,1:21.194 ,70 ,1:25.102
32 ,1:23.961 ,71 ,1:26.112
33 ,1:21.352 ,72 ,1:22.335
34 ,1:20.933 ,73 ,1:21.610
35 ,1:21.196 ,74 ,1:21.371
36 ,1:23.412 ,75 ,1:20.987
37 ,1:21.328 ,76 ,1:20.931
38 ,1:21.334 ,77 ,1:20.997
39 ,1:20.652 ,78 ,1:21.269
LAP  ,TIME,LAP  ,TIME
1 ,14:04:33 ,40 ,1:19.773
2 ,1:24.679 ,41 ,1:20.062
3 ,1:23.188 ,42 ,1:20.660
4 ,1:23.638 ,43 ,1:20.713
5 ,1:23.095 ,44 ,1:19.962
6 ,1:24.729 ,45 ,1:20.307
7 ,1:24.244 ,46 ,1:20.010
8 ,1:22.636 ,47 ,1:19.923
9 ,1:22.478 ,48 ,1:20.102
10 ,1:22.097 ,49 ,1:20.173
11 ,1:21.867 ,50 ,1:21.036
12 ,1:21.945 ,51 ,1:20.393
13 ,1:22.111 ,52 ,1:20.597
14 P ,1:40.189 ,53 ,1:20.605
15 ,1:24.531 ,54 ,1:21.393
16 ,1:20.932 ,55 ,1:21.901
17 ,1:20.912 ,56 ,1:20.111
18 ,1:21.266 ,57 ,1:19.943
19 ,1:22.452 ,58 ,1:19.753
20 ,1:21.519 ,59 ,1:19.998
21 ,1:21.203 ,60 ,1:19.929
22 ,1:20.826 ,61 ,1:22.681
23 ,1:24.797 ,62 ,1:20.147
24 ,1:22.155 ,63 ,1:42.790
25 ,1:24.029 ,64 ,1:44.921
26 ,1:21.908 ,65 ,1:49.797
27 ,1:21.468 ,66 ,2:00.778
28 ,1:21.117 ,67 ,1:58.835
29 ,1:20.980 ,68 ,1:29.848
30 ,1:24.797 ,69 P ,1:42.634
31 ,1:21.314 ,70 ,1:24.240
32 ,1:21.896 ,71 ,1:20.318
33 ,1:21.347 ,72 ,1:19.788
34 ,1:21.799 ,73 ,1:21.045
35 ,1:22.519 ,74 ,1:20.262
36 ,1:21.266 ,75 ,1:19.285
37 ,1:21.174 ,76 ,1:19.942
38 P ,1:39.871 ,77 ,1:19.926
39 ,1:23.887 ,78 ,1:19.698
11 ,S. PEREZ
12 ,F. NASR
13 ,P. MALDONADO
LAP  ,TIME,LAP  ,TIME
1 ,14:04:26 ,40 ,1:20.927
2 ,1:22.559 ,41 ,1:20.559
3 ,1:22.544 ,42 ,1:20.538
4 ,1:21.434 ,43 ,1:20.578
5 ,1:21.460 ,44 ,1:20.304
6 ,1:21.565 ,45 ,1:20.226
7 ,1:21.414 ,46 ,1:20.001
8 ,1:21.289 ,47 ,1:19.994
9 ,1:21.181 ,48 ,1:20.053
10 ,1:21.018 ,49 ,1:20.064
11 ,1:21.066 ,50 ,1:20.523
12 ,1:21.424 ,51 ,1:20.480
13 ,1:21.216 ,52 ,1:20.668
14 ,1:20.748 ,53 ,1:20.314
15 ,1:20.501 ,54 ,1:21.477
16 ,1:20.780 ,55 ,1:20.375
17 ,1:20.965 ,56 ,1:20.031
18 ,1:20.558 ,57 ,1:20.388
19 ,1:20.919 ,58 ,1:20.336
20 ,1:21.196 ,59 ,1:20.330
21 ,1:21.579 ,60 ,1:20.229
22 ,1:21.550 ,61 ,1:20.031
23 ,1:20.939 ,62 ,1:20.635
24 ,1:21.001 ,63 ,1:20.569
25 ,1:20.843 ,64 P ,2:00.310
26 ,1:20.755 ,65 ,1:46.219
27 ,1:21.212 ,66 ,1:28.724
28 ,1:21.295 ,67 ,1:56.305
29 ,1:21.037 ,68 ,2:00.977
30 ,1:20.939 ,69 ,2:13.184
31 ,1:21.344 ,70 ,1:54.257
32 ,1:20.930 ,71 ,1:24.840
33 ,1:21.494 ,72 ,1:22.270
34 ,1:21.723 ,73 ,1:20.321
35 ,1:21.925 ,74 ,1:19.657
36 P ,1:38.853 ,75 ,1:19.838
37 ,1:23.456 ,76 ,1:19.833
38 ,1:20.593 ,77 ,1:19.920
39 ,1:20.130 ,78 ,1:19.922
LAP  ,TIME,LAP  ,TIME
1 ,14:04:30 ,40 ,1:20.639
2 ,1:24.099 ,41 ,1:22.880
3 ,1:23.281 ,42 ,1:22.709
4 ,1:23.305 ,43 ,1:21.759
5 ,1:22.625 ,44 ,1:20.784
6 ,1:26.882 ,45 ,1:20.888
7 ,1:22.743 ,46 ,1:20.792
8 ,1:22.027 ,47 ,1:20.299
9 ,1:21.724 ,48 ,1:20.133
10 ,1:21.163 ,49 ,1:21.650
11 ,1:21.571 ,50 ,1:20.846
12 ,1:20.763 ,51 ,1:21.046
13 ,1:21.052 ,52 ,1:21.205
14 ,1:21.158 ,53 ,1:20.608
15 ,1:20.993 ,54 ,1:20.675
16 ,1:21.274 ,55 ,1:23.265
17 ,1:20.778 ,56 ,1:21.592
18 P ,1:39.697 ,57 ,1:20.435
19 ,1:26.096 ,58 ,1:20.879
20 ,1:20.789 ,59 ,1:21.992
21 ,1:20.446 ,60 ,1:22.122
22 ,1:20.887 ,61 ,1:21.006
23 ,1:21.351 ,62 ,1:20.648
24 ,1:21.049 ,63 ,1:36.830
25 ,1:21.022 ,64 P ,1:59.948
26 ,1:21.844 ,65 ,1:58.479
27 ,1:20.274 ,66 ,2:00.446
28 ,1:20.642 ,67 ,1:57.786
29 ,1:21.265 ,68 ,1:24.994
30 ,1:21.196 ,69 ,1:22.782
31 ,1:22.035 ,70 ,1:38.071
32 ,1:21.086 ,71 ,1:24.042
33 ,1:22.160 ,72 ,1:22.545
34 ,1:22.138 ,73 ,1:21.458
35 ,1:20.901 ,74 ,1:21.013
36 ,1:21.148 ,75 ,1:20.334
37 ,1:21.559 ,76 ,1:20.017
38 ,1:21.005 ,77 ,1:21.290
39 ,1:21.059 ,78 ,1:22.082
LAP  ,TIME,LAP  ,TIME
1 ,14:04:28 ,4 ,1:22.468
2 ,1:22.707 ,5 ,1:24.723
3 ,1:22.271,"",""
14 ,F. ALONSO
19 ,F. MASSA
22 ,J. BUTTON
LAP  ,TIME,LAP  ,TIME
1 ,14:04:30 ,22 ,1:21.002
2 ,1:24.054 ,23 ,1:21.312
3 ,1:23.214 ,24 ,1:21.962
4 ,1:23.148 ,25 ,1:20.848
5 ,1:22.804 ,26 ,1:20.872
6 ,1:26.401 ,27 ,1:20.663
7 ,1:22.520 ,28 ,1:20.840
8 ,1:21.556 ,29 ,1:21.502
9 ,1:21.171 ,30 ,1:21.062
10 ,1:21.004 ,31 ,1:20.589
11 ,1:21.283 ,32 P ,1:43.473
