6 ,N. ROSBERG
3 ,D. RICCIARDO
5 ,S. VETTEL
LAP  ,TIME,LAP  ,TIME
1 ,14:04:59 ,27 ,1:29.536
2 ,1:31.447 ,28 ,1:30.404
3 ,1:31.935 ,29 ,1:30.385
4 ,1:31.488 ,30 P ,1:33.879
5 ,1:30.371 ,31 ,1:48.642
6 ,1:30.793 ,32 ,1:28.270
7 ,1:31.430 ,33 ,1:28.618
8 ,1:30.373 ,34 ,1:28.692
9 ,1:30.340 ,35 ,1:28.470
10 ,1:30.170 ,36 ,1:28.371
11 ,1:29.997 ,37 ,1:28.520
12 ,1:30.284 ,38 ,1:28.520
13 ,1:30.051 ,39 ,1:28.285
14 ,1:30.101 ,40 ,1:28.142
15 ,1:29.831 ,41 ,1:28.090
16 ,1:29.865 ,42 ,1:28.156
17 ,1:29.791 ,43 ,1:28.170
18 ,1:29.785 ,44 ,1:28.356
19 ,1:29.883 ,45 ,1:28.164
20 ,1:29.997 ,46 ,1:28.144
21 ,1:29.790 ,47 ,1:28.097
22 ,1:29.843 ,48 ,1:28.522
23 ,1:29.431 ,49 ,1:29.999
24 ,1:29.644 ,50 ,1:28.065
25 ,1:29.225 ,51 ,1:28.137
26 ,1:29.546 ,52 ,1:28.209
LAP  ,TIME,LAP  ,TIME
1 ,14:04:51 ,28 ,1:27.548
2 ,1:28.611 ,29 ,1:28.003
3 ,1:28.686 ,30 ,1:28.103
4 ,1:28.350 ,31 ,1:27.696
5 ,1:28.535 ,32 ,1:27.661
6 ,1:28.318 ,33 ,1:27.765
7 ,1:28.495 ,34 ,1:27.656
8 ,1:28.620 ,35 ,1:28.233
9 ,1:28.698 ,36 ,1:27.832
10 ,1:28.598 ,37 ,1:27.607
11 ,1:28.618 ,38 ,1:28.004
12 ,1:28.619 ,39 ,1:27.615
13 ,1:28.672 ,40 ,1:27.882
14 ,1:28.688 ,41 ,1:27.615
15 ,1:28.716 ,42 ,1:27.394
16 ,1:28.643 ,43 ,1:27.390
17 ,1:28.872 ,44 ,1:27.509
18 ,1:28.986 ,45 ,1:27.738
19 ,1:29.057 ,46 ,1:27.391
20 ,1:29.572 ,47 ,1:27.591
21 ,1:29.264 ,48 ,1:27.492
22 ,1:29.119 ,49 ,1:27.690
23 ,1:29.706 ,50 ,1:27.711
24 ,1:29.430 ,51 ,1:27.593
25 P ,1:33.946 ,52 ,1:27.376
26 ,1:48.937 ,53 ,1:28.375
27 ,1:28.288,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:04:54 ,26 ,1:27.925
2 ,1:29.149 ,27 ,1:28.921
3 ,1:29.068 ,28 ,1:28.317
4 ,1:28.458 ,29 ,1:28.078
5 ,1:29.012 ,30 ,1:27.656
6 ,1:28.869 ,31 ,1:27.782
7 ,1:28.972 ,32 ,1:27.832
8 ,1:29.275 ,33 ,1:27.941
9 ,1:29.204 ,34 ,1:27.544
10 ,1:28.952 ,35 ,1:28.053
11 ,1:28.757 ,36 ,1:27.753
12 ,1:28.916 ,37 ,1:27.611
13 ,1:29.094 ,38 ,1:27.559
14 ,1:30.920 ,39 ,1:27.489
15 ,1:29.726 ,40 ,1:27.502
16 ,1:29.470 ,41 ,1:27.338
17 ,1:29.464 ,42 ,1:27.394
18 P ,1:33.566 ,43 ,1:27.067
19 ,1:47.824 ,44 ,1:27.302
20 ,1:28.286 ,45 ,1:27.536
21 ,1:28.662 ,46 ,1:27.311
22 ,1:28.460 ,47 ,1:27.138
23 ,1:28.353 ,48 ,1:27.186
24 ,1:28.206 ,49 ,1:27.268
25 ,1:27.771 ,50 ,1:27.523
9 ,M. ERICSSON
7 ,K. RAIKKONEN
8 ,R. GROSJEAN
LAP  ,TIME,LAP  ,TIME
1 ,14:05:00 ,28 P ,1:35.303
2 ,1:30.866 ,29 ,1:49.169
3 ,1:31.121 ,30 ,1:28.281
4 ,1:30.872 ,31 ,1:28.686
5 ,1:30.539 ,32 ,1:28.222
6 ,1:29.912 ,33 ,1:27.748
7 ,1:29.253 ,34 ,1:28.034
8 ,1:29.274 ,35 ,1:28.542
9 ,1:29.252 ,36 ,1:27.940
10 ,1:29.382 ,37 ,1:28.107
11 ,1:29.246 ,38 ,1:28.260
12 ,1:29.496 ,39 ,1:28.300
13 ,1:29.081 ,40 ,1:28.207
14 ,1:29.275 ,41 ,1:27.994
15 ,1:29.195 ,42 ,1:27.713
16 ,1:29.346 ,43 ,1:27.584
17 ,1:29.327 ,44 ,1:27.870
18 ,1:29.257 ,45 ,1:27.744
19 ,1:29.306 ,46 ,1:27.983
20 ,1:28.907 ,47 ,1:28.079
21 ,1:29.333 ,48 ,1:28.222
22 ,1:29.295 ,49 ,1:28.054
23 ,1:29.355 ,50 ,1:28.502
24 ,1:29.243 ,51 ,1:28.601
25 ,1:29.185 ,52 ,1:28.557
26 ,1:29.378 ,53 ,1:28.485
27 ,1:30.076,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:04:55,"",""
LAP  ,TIME,LAP  ,TIME
1 ,14:04:57 ,27 ,1:28.939
2 ,1:30.428 ,28 ,1:29.117
3 ,1:29.989 ,29 ,1:28.963
4 ,1:29.909 ,30 ,1:29.567
5 ,1:29.666 ,31 ,1:29.868
6 ,1:29.430 ,32 ,1:29.211
7 ,1:29.468 ,33 ,1:28.960
8 ,1:29.696 ,34 ,1:29.156
9 ,1:29.630 ,35 ,1:29.028
10 ,1:29.931 ,36 ,1:29.042
11 ,1:29.819 ,37 ,1:29.026
12 ,1:29.750 ,38 ,1:28.683
13 ,1:29.678 ,39 ,1:29.082
14 ,1:29.651 ,40 ,1:28.963
15 ,1:29.781 ,41 ,1:29.140
16 ,1:29.790 ,42 ,1:29.252
17 ,1:29.813 ,43 ,1:29.013
18 ,1:29.855 ,44 ,1:29.112
19 ,1:29.923 ,45 ,1:28.824
20 P ,1:35.843 ,46 ,1:29.174
21 ,1:50.119 ,47 ,1:29.184
22 ,1:28.516 ,48 ,1:29.336
23 ,1:29.088 ,49 ,1:29.040
24 ,1:29.224 ,50 ,1:29.309
25 ,1:29.164 ,51 ,1:30.211
26 ,1:28.968 ,52 ,1:29.917
13 ,P. MALDONADO
11 ,S. PEREZ
12 ,F. NASR
LAP  ,TIME,LAP  ,TIME
1 ,14:04:53 ,28 ,1:30.315
2 ,1:30.671 ,29 ,1:28.990
3 ,1:29.882 ,30 ,1:28.616
4 ,1:29.393 ,31 ,1:28.773
5 ,1:29.011 ,32 ,1:28.619
6 ,1:29.055 ,33 ,1:28.542
7 ,1:29.548 ,34 ,1:28.637
8 ,1:29.308 ,35 ,1:29.140
9 ,1:29.436 ,36 ,1:28.582
10 ,1:29.318 ,37 ,1:28.496
11 ,1:29.584 ,38 ,1:28.778
12 ,1:29.380 ,39 ,1:28.839
13 ,1:29.386 ,40 ,1:28.760
14 ,1:29.557 ,41 ,1:28.375
15 ,1:29.705 ,42 ,1:28.374
16 ,1:29.598 ,43 ,1:28.248
17 ,1:29.560 ,44 ,1:28.291
18 ,1:29.782 ,45 ,1:28.318
19 ,1:29.604 ,46 ,1:28.140
20 ,1:30.339 ,47 ,1:28.298
21 ,1:29.893 ,48 ,1:28.422
22 ,1:29.950 ,49 ,1:28.266
23 P ,1:34.177 ,50 ,1:29.984
24 ,1:49.349 ,51 ,1:29.560
25 ,1:28.312 ,52 ,1:29.015
26 ,1:28.724 ,53 ,1:29.837
27 ,1:28.882,"",""
LAP  ,TIME,LAP  ,TIME
1 P ,14:05:04 ,27 ,1:29.131
2 ,1:52.051 ,28 ,1:29.862
3 ,1:29.943 ,29 ,1:28.838
4 ,1:30.023 ,30 ,1:28.994
5 ,1:30.182 ,31 ,1:29.446
6 ,1:30.110 ,32 ,1:29.419
7 ,1:30.072 ,33 ,1:29.221
8 ,1:30.132 ,34 ,1:29.316
9 ,1:30.271 ,35 ,1:29.051
10 ,1:30.731 ,36 ,1:28.848
11 ,1:30.291 ,37 ,1:30.132
12 ,1:30.474 ,38 ,1:30.518
13 ,1:29.924 ,39 ,1:30.633
14 ,1:30.249 ,40 ,1:29.148
15 ,1:30.018 ,41 ,1:29.005
16 ,1:30.014 ,42 ,1:28.675
17 ,1:30.567 ,43 ,1:28.714
18 ,1:30.368 ,44 ,1:28.957
19 ,1:30.156 ,45 ,1:28.887
20 ,1:30.374 ,46 ,1:28.928
21 ,1:30.083 ,47 ,1:28.915
22 ,1:30.097 ,48 ,1:29.117
23 ,1:31.064 ,49 ,1:32.119
